region,wirtschaftszweig,medianlohn_chf
Espace Mittelland,Gesundheits- u. Sozialwesen,6149.0
Nordwestschweiz,Gesundheits- u. Sozialwesen,6402.0
Zürich,Gesundheits- u. Sozialwesen,6757.0
Ostschweiz,Gesundheits- u. Sozialwesen,6400.0
Zentralschweiz,Gesundheits- u. Sozialwesen,6175.0
Tessin,Gesundheits- u. Sozialwesen,6134.0
Schweiz,"Kunst, Unterhaltung und Erholung",6220.0
Genferseeregion,"Kunst, Unterhaltung und Erholung",6866.0
Espace Mittelland,"Kunst, Unterhaltung und Erholung",6116.0
Nordwestschweiz,"Kunst, Unterhaltung und Erholung",6125.0
Zürich,"Kunst, Unterhaltung und Erholung",6655.0
Ostschweiz,"Kunst, Unterhaltung und Erholung",5526.0
Zentralschweiz,"Kunst, Unterhaltung und Erholung",5776.0
Tessin,"Kunst, Unterhaltung und Erholung",5651.0
Schweiz,Erbringung v. sonst. Dienstleistungen,6187.0
Genferseeregion,Erbringung v. sonst. Dienstleistungen,5999.0
Espace Mittelland,Erbringung v. sonst. Dienstleistungen,6384.0
Nordwestschweiz,Erbringung v. sonst. Dienstleistungen,5957.0
Zürich,Erbringung v. sonst. Dienstleistungen,6654.0
Ostschweiz,Erbringung v. sonst. Dienstleistungen,5674.0
Zentralschweiz,Erbringung v. sonst. Dienstleistungen,5895.0
Tessin,Erbringung v. sonst. Dienstleistungen,4549.0
Schweiz,"Interessenvertretungen, relig. Verein.; Rep. v. Gebrauchsgütern",7209.0
Genferseeregion,"Interessenvertretungen, relig. Verein.; Rep. v. Gebrauchsgütern",7491.0
Espace Mittelland,"Interessenvertretungen, relig. Verein.; Rep. v. Gebrauchsgütern",6912.0
Nordwestschweiz,"Interessenvertretungen, relig. Verein.; Rep. v. Gebrauchsgütern",7170.0
Zürich,"Interessenvertretungen, relig. Verein.; Rep. v. Gebrauchsgütern",7906.0
Ostschweiz,"Interessenvertretungen, relig. Verein.; Rep. v. Gebrauchsgütern",7087.0
Zentralschweiz,"Interessenvertretungen, relig. Verein.; Rep. v. Gebrauchsgütern",6685.0
Tessin,"Interessenvertretungen, relig. Verein.; Rep. v. Gebrauchsgütern",5444.0
Schweiz,Sonst. persönliche Dienstleistungen,4076.0
Genferseeregion,Sonst. persönliche Dienstleistungen,3826.0
Espace Mittelland,Sonst. persönliche Dienstleistungen,4024.0
Nordwestschweiz,Sonst. persönliche Dienstleistungen,4150.0
Zürich,Sonst. persönliche Dienstleistungen,4372.0
Ostschweiz,Sonst. persönliche Dienstleistungen,4025.0
Zentralschweiz,Sonst. persönliche Dienstleistungen,4228.0
Tessin,Sonst. persönliche Dienstleistungen,3535.0
